,Patient,Concentration,Culture,Replicate,Treatment,Plate,S_phase
0,11,0,PDOF,A,H2O,O,1.127641966
1,11,0,PDOF,B,H2O,O,1.013125425
2,11,0,PDOF,C,H2O,O,0.859232609
3,11,3,PDOF,A,O,O,0.111152338
4,11,3,PDOF,B,O,O,0.165696496
5,11,3,PDOF,C,O,O,0.163874897
6,11,0,PDO,A,H2O,O,1.009065494
7,11,0,PDO,B,H2O,O,0.802102054
8,11,0,PDO,C,H2O,O,1.188832452
9,11,3,PDO,A,O,O,0.132906681
10,11,3,PDO,B,O,O,0.072381384
11,11,3,PDO,C,O,O,0.062146696
12,141,0,PDOF,A,H2O,O,0.984053498
13,141,0,PDOF,B,H2O,O,0.94950932
14,141,0,PDOF,C,H2O,O,1.066437182
15,141,3,PDOF,A,O,O,0.058856276
16,141,3,PDOF,B,O,O,0.095765978
17,141,3,PDOF,C,O,O,0.056051947
18,141,0,PDO,A,H2O,O,1.027437854
19,141,0,PDO,B,H2O,O,0.921308745
20,141,0,PDO,C,H2O,O,1.051253401
21,141,3,PDO,A,O,O,0.090299221
22,141,3,PDO,B,O,O,0.070419073
23,141,3,PDO,C,O,O,0.120308526
24,75,0,PDOF,A,H2O,O,0.938194807
25,75,0,PDOF,B,H2O,O,1.002162171
26,75,0,PDOF,C,H2O,O,1.059643022
27,75,3,PDOF,A,O,O,0.164790407
28,75,3,PDOF,B,O,O,0.182899725
29,75,3,PDOF,C,O,O,0.169175666
30,75,0,PDO,A,H2O,O,0.93230493
31,75,0,PDO,B,H2O,O,0.987537273
32,75,0,PDO,C,H2O,O,1.080157797
33,75,3,PDO,A,O,O,0.700945339
34,75,3,PDO,B,O,O,0.738454418
35,75,3,PDO,C,O,O,0.641087873
36,5,0,PDOF,A,H2O,O,1.02482985
37,5,0,PDOF,B,H2O,O,1.068093257
38,5,0,PDOF,C,H2O,O,0.907076893
39,5,3,PDOF,A,O,O,0.024703945
40,5,3,PDOF,B,O,O,0.058725349
41,5,3,PDOF,C,O,O,0.040952236
42,5,0,PDO,A,H2O,O,1.027662222
43,5,0,PDO,B,H2O,O,0.891428582
44,5,0,PDO,C,H2O,O,1.080909197
45,5,3,PDO,A,O,O,0.05050047
46,5,3,PDO,B,O,O,0.050046533
47,5,3,PDO,C,O,O,0.055407427
48,27,0,PDOF,A,H2O,O,1.022429523
49,27,0,PDOF,B,H2O,O,0.841403738
50,27,0,PDOF,C,H2O,O,1.13616674
51,27,3,PDOF,A,O,O,0.99812779
52,27,3,PDOF,B,O,O,1.029292479
53,27,3,PDOF,C,O,O,0.951457387
54,27,0,PDO,A,H2O,O,0.836217408
55,27,0,PDO,B,H2O,O,0.904438226
56,27,0,PDO,C,H2O,O,1.259344366
57,27,3,PDO,A,O,O,0.982652903
58,27,3,PDO,B,O,O,1.00200361
59,27,3,PDO,C,O,O,0.95195756
60,216,0,PDOF,A,H2O,O,0.996931961
61,216,0,PDOF,B,H2O,O,1.054889554
62,216,0,PDOF,C,H2O,O,0.948178486
63,216,3,PDOF,A,O,O,0.717850572
64,216,3,PDOF,B,O,O,0.555848771
65,216,3,PDOF,C,O,O,0.588901802
66,216,0,PDO,A,H2O,O,1.035175465
67,216,0,PDO,B,H2O,O,0.946071011
68,216,0,PDO,C,H2O,O,1.018753524
69,216,3,PDO,A,O,O,0.545656067
70,216,3,PDO,B,O,O,0.517655984
71,216,3,PDO,C,O,O,0.333154616
72,99,0,PDOF,A,H2O,O,0.975290385
73,99,0,PDOF,B,H2O,O,1.090802863
74,99,0,PDOF,C,H2O,O,0.933906752
75,99,3,PDOF,A,O,O,0.02980327
76,99,3,PDOF,B,O,O,0.022383472
77,99,3,PDOF,C,O,O,0.02150604
78,99,0,PDO,A,H2O,O,0.999628801
79,99,0,PDO,B,H2O,O,1.182250486
80,99,0,PDO,C,H2O,O,0.818120713
81,99,3,PDO,A,O,O,0.003225453
82,99,3,PDO,B,O,O,0.003000607
83,99,3,PDO,C,O,O,0
84,109,0,PDOF,A,H2O,O,1.05719148
85,109,0,PDOF,B,H2O,O,0.921121517
86,109,0,PDOF,C,H2O,O,1.021687003
87,109,3,PDOF,A,O,O,0.088556937
88,109,3,PDOF,B,O,O,0.103005826
89,109,3,PDOF,C,O,O,0.125162783
90,109,0,PDO,A,H2O,O,1.021072299
91,109,0,PDO,B,H2O,O,1.027553149
92,109,0,PDO,C,H2O,O,0.951374552
93,109,3,PDO,A,O,O,0.005314476
94,109,3,PDO,B,O,O,0.010384029
95,109,3,PDO,C,O,O,0.008558921
96,21,0,PDOF,A,H2O,O,0.891264104
97,21,0,PDOF,B,H2O,O,0.929127584
98,21,0,PDOF,C,H2O,O,1.179608313
99,21,3,PDOF,A,O,O,0.010815031
100,21,3,PDOF,B,O,O,0.084592508
101,21,3,PDOF,C,O,O,0.074085004
102,21,0,PDO,A,H2O,O,1.007397574
103,21,0,PDO,B,H2O,O,1.023063469
104,21,0,PDO,C,H2O,O,0.969538956
105,21,3,PDO,A,O,O,0.010754409
106,21,3,PDO,B,O,O,0.019151324
107,21,3,PDO,C,O,O,0.017168111
108,23,0,PDOF,A,H2O,O,0.835695074
109,23,0,PDOF,B,H2O,O,1.050686239
110,23,0,PDOF,C,H2O,O,1.113618687
111,23,3,PDOF,A,O,O,0.486479182
112,23,3,PDOF,B,O,O,0.710804841
113,23,3,PDOF,C,O,O,0.786349947
114,23,0,PDO,A,H2O,O,0.962514565
115,23,0,PDO,B,H2O,O,0.982671463
116,23,0,PDO,C,H2O,O,1.054813972
117,23,3,PDO,A,O,O,0.801553282
118,23,3,PDO,B,O,O,0.824770429
119,23,3,PDO,C,O,O,0.767304782